device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob
null,PSEUDO-FASTBACK,App2Car,0.000,,56.0,,,957.0,0.0,0.5219359993934631,5.588066577911377,8.056488990783691,9.818651644968968,,,,,,,,0.0,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,,,
null,PSEUDO-FASTBACK,App2Car,0.998,,56.0,,,1166.0,0.0,0.16759411990642548,6.521805286407471,7.314286231994629,9.801061935646862,,,,,,,,261.8,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,1.998,,65.0,,,1353.0,2.0,-0.7781155705451965,6.847416877746582,7.491456985473633,10.179121254016739,,,,,,,,378.95,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,2.999,,61.0,,,1350.0,5.0,0.45250412821769714,4.9799394607543945,7.364564418792725,8.901761965890834,,,,,,,,445.5,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,3.997,,52.0,,,1063.0,6.0,1.015141487121582,4.347870349884033,8.813055992126465,9.879496178380368,,,,,,,,308.27,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,4.999,,51.0,,,1055.0,6.0,0.6177040338516235,4.584896087646484,8.245630264282227,9.454800307949375,,,,,,,,298.11,,,0,Não identificado,,,0.0,0.9333333333333333,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,5.998,,46.0,,,1020.0,7.0,0.4620809257030487,5.916072368621826,8.415618896484375,10.297381825664917,,,,,,,,272.685,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,6.998,,42.0,,,976.0,8.0,-0.4213795065879822,4.639962673187256,9.08838939666748,10.213013077569284,,,,,,,,245.73499999999999,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,7.998,,42.0,,,929.0,8.0,-0.29209262132644653,5.386953830718994,8.767566680908203,10.294406985247042,,,,,,,,228.25000000000003,,,0,Não identificado,,,0.0,0.6666666666666666,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,8.998,,44.0,,,948.0,8.0,-2.3247697353363037,4.572925090789795,8.865729331970215,10.242917299093433,,,,,,,,245.96,,,0,Não identificado,,,0.0,0.7333333333333333,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,9.999,,47.0,,,932.0,6.0,-0.6967126727104187,5.149928092956543,4.017470359802246,6.568655570421385,,,,,,,,248.305,,,0,Não identificado,,,0.0,0.7333333333333333,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,10.999,,51.0,,,962.0,6.0,0.23702596127986908,4.4508209228515625,8.054094314575195,9.205130277279423,,,,,,,,270.28,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,11.998,,46.0,,,959.0,7.0,-0.07182604819536209,4.252102375030518,8.29830265045166,9.32455685099472,,,,,,,,254.135,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,12.998,,44.0,,,969.0,8.0,-0.9457096457481384,4.78122091293335,11.255142211914062,12.265099525186987,,,,,,,,249.33999999999997,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,13.998,,42.0,,,982.0,10.0,0.7924807667732239,5.688623428344727,7.647080421447754,9.563801610620514,,,,,,,,255.32,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,14.998,,42.0,,,1007.0,12.0,1.4413094520568848,6.030993938446045,6.315904140472412,8.851039822178974,,,,,,,,255.32,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,15.998,,40.0,,,1044.0,13.0,0.0933738648891449,2.87064790725708,9.830592155456543,10.241576060988246,,,,,,,,270.14,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,16.998,,40.0,,,1051.0,14.0,1.1180921792984009,3.1004912853240967,9.708487510681152,10.252702379218409,,,,,,,,280.26000000000005,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,17.999,,39.0,,,1089.0,15.0,0.1843535304069519,2.4612393379211426,12.339715957641602,12.584127908519477,,,,,,,,283.5,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,18.998,,44.0,,,1212.0,15.0,-0.5913678407669067,3.2537200450897217,8.851364135742188,9.448971220107246,,,,,,,,320.37,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,19.998,,41.0,,,1041.0,14.0,-0.7709329724311829,2.985569477081299,7.094019412994385,7.735184172494038,,,,,,,,293.7,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,20.999,,41.0,,,1047.0,12.0,1.5753847360610962,3.8283286094665527,6.521805286407471,7.72475767920825,,,,,,,,293.7,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,21.999,,40.0,,,1041.0,11.0,1.8100165128707886,2.9328970909118652,5.286397457122803,6.310629382036204,,,,,,,,271.44,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,22.999,,40.0,,,1011.0,9.0,1.4508862495422363,3.1220390796661377,11.200075149536133,11.717247214227843,,,,,,,,271.44,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,23.998,,43.0,,,982.0,8.0,1.7166426181793213,2.7222073078155518,8.702922821044922,9.278908348202306,,,,,,,,256.1,,,0,Não identificado,,,0.0,0.8,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,24.998,,43.0,,,962.0,9.0,-2.607285737991333,3.0526070594787598,8.334216117858887,9.250703058594597,,,,,,,,256.1,,,0,Não identificado,,,0.0,0.7,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,26.000,,44.0,,,1273.0,9.0,1.802833914756775,2.63362193107605,10.702081680297852,11.167843430663275,,,,,,,,257.315,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,26.999,,36.0,,,1566.0,10.0,3.7900211811065674,6.028599739074707,10.390835762023926,12.596735418375802,,,,,,,,330.74,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,28.003,,27.0,,,1737.0,12.0,-0.7709329724311829,3.0406360626220703,11.508927345275879,11.928755758759516,,,,,,,,316.28999999999996,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,28.998,,30.0,,,1699.0,15.0,2.207453966140747,2.8203697204589844,9.516951560974121,10.168564568641935,,,,,,,,382.275,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,29.998,,36.0,,,1522.0,16.0,3.7900211811065674,2.03507137298584,9.114726066589355,10.078889190548052,,,,,,,,395.72,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,30.998,,36.0,,,1515.0,18.0,-1.6208745241165161,1.9608511924743652,9.576807022094727,9.908955765387237,,,,,,,,409.04999999999995,,,0,Não identificado,,,1.0,0.5333333333333333,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,31.999,,34.0,,,1492.0,20.0,2.4133553504943848,5.896918773651123,6.0190229415893555,8.765076853181489,,,,,,,,410.94000000000005,,,0,Não identificado,,,1.0,0.5333333333333333,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,32.998,,31.0,,,1510.0,21.0,0.8212111592292786,5.736507415771484,6.651092529296875,8.821504232981619,,,,,,,,396.76,,,0,Não identificado,,,0.0,0.9,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,33.999,,31.0,,,1505.0,22.0,-0.49559974670410156,5.463568210601807,5.501875400543213,7.769609361089805,,,,,,,,403.06500000000005,,,0,Não identificado,,,0.0,0.9,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,34.999,,27.0,,,1496.0,23.0,-0.7781155705451965,5.049371242523193,11.027692794799805,12.153667025323042,,,,,,,,377.5,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,35.998,,25.0,,,1532.0,23.0,-1.2306196689605713,6.382941722869873,11.192893028259277,12.943617120003234,,,,,,,,364.32,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,36.999,,23.0,,,1578.0,23.0,-1.9153614044189453,5.475539207458496,7.994239330291748,9.87714540704633,,,,,,,,352.36,,,0,Não identificado,,,0.0,0.7666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,37.998,,29.0,,,1508.0,23.0,1.3527239561080933,3.622427225112915,6.7708024978637695,7.797153811984617,,,,,,,,392.08,,,0,Não identificado,,,0.0,0.8666666666666667,90.0,0.0,0,
null,PSEUDO-FASTBACK,App2Car,38.999,,39.0,,,1219.0,23.0,0.17477671802043915,3.404554843902588,12.509703636169434,12.96588699823862,,,,,,,,377.89,,,0,Não identificado,,,0.0,0.8333333333333334,90.0,0.0,0,
