device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,distance_traveled_with_MIL_on,driver_behaviour_label,ethanol_percentage,fuel_model_prediction_prob,fuel_rail_gauge_pressure,fuel_rail_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,PSEUDO-CRETA,App2Car,0.000,,50.0,,77.0,919.0,0.0,0.2130839526653289,-1.0678139925003052,9.732429504394531,9.79315146168342,,-3.0,,,,,,0.0,,,0,Não identificado,,,0.0,0.7,,,,,,,,,,Etanol
,PSEUDO-CRETA,App2Car,0.999,,50.0,,77.0,919.0,0.0,0.1221042871475219,-0.9145850539207458,9.691728591918944,9.735552289275336,,-3.0,35.0,,18.0,,,679.75,,,0,Não identificado,,,1.0,0.6666666666666666,0.0,1.0,,,,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,1.999,14.11,49.0,,76.0,919.0,0.0,0.0622492432594299,-0.9002198576927185,9.691728591918944,9.733646483198877,,-3.0,35.0,,18.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.6666666666666666,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,3.000,14.11,49.0,,76.0,904.0,0.0,0.0526724383234977,-1.0103530883789062,9.672574996948242,9.725342915318926,,-3.0,35.0,,17.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,4.000,14.11,49.0,,76.0,906.0,0.0,0.0263362191617488,-0.9050082564353944,9.68694019317627,9.729159462503937,,-1.0,35.0,,17.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,5.001,14.11,49.0,,76.0,911.0,0.0,0.2513911724090576,-0.912190854549408,9.708487510681152,9.754487142937895,,-1.0,35.0,,17.0,41.57,,666.155,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,6.001,14.11,48.0,,75.0,898.0,0.0,0.2346317619085312,-0.8140285611152649,9.720458984375,9.757305848897245,,-4.5,35.0,,17.0,41.57,,626.64,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,7.001,14.11,47.0,,75.0,907.0,0.0,0.0047884033992886,-0.828393816947937,9.646238327026367,9.681744321482425,,-4.5,35.0,,17.0,41.57,,610.53,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,1.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,8.000,14.11,48.0,,75.0,917.0,0.0,0.2849099934101105,-0.8379706144332886,9.799467086791992,9.839355854938788,,-4.5,35.0,,17.0,41.57,,625.6800000000001,,,0,Gasolina,,,1.0,0.8333333333333334,0.0,0.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,9.000,14.11,48.0,,75.0,900.0,0.0,0.1556231081485748,-0.8930372595787048,9.710882186889648,9.753100376107914,,-4.0,35.0,,17.0,41.57,,625.6800000000001,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,0.0,30.98,0.98,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,10.000,14.11,47.0,,74.0,889.0,0.0,0.1340752989053726,-0.8307880163192749,9.610325813293455,9.647100453063128,,-1.0,35.0,,17.0,41.57,,611.0,,,0,Gasolina,,,1.0,0.9666666666666668,0.0,0.0,30.98,0.99,12430.0,,-2.34,76.0,-0.78,Etanol
,PSEUDO-CRETA,App2Car,11.000,14.11,48.0,,74.0,889.0,0.0,0.2226607650518417,0.5051765441894531,9.667786598205566,9.683536485475534,,-2.5,35.0,,16.0,41.57,,597.36,,,0,Gasolina,,,1.0,0.9333333333333332,0.0,0.0,30.98,1.0,12430.0,,-2.34,76.0,-0.78,Etanol
