device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,,App2Car,0.000,,19.0,,25.0,783.0,0.0,-0.4405331015586853,10.287884712219238,0.3974374830722809,10.304979273071542,,9.5,37.0,,,,,0.0,,,1,Não identificado,,,0.0,0.8,,,,,,,Gasolina
,,App2Car,1.001,14.3,21.0,,25.0,783.0,0.0,0.5841852426528931,10.216058731079102,0.5003881454467773,10.244975192292786,,9.5,37.0,1.71,14.0,50.59,,229.215,,,0,Não identificado,,,0.0,0.8333333333333334,68.0,0.0,1.0,,313.0,-7.03,Gasolina
,,App2Car,2.001,14.3,20.0,,26.0,788.0,0.0,-0.3519476354122162,9.761159896850586,-0.2466027736663818,9.770615261995344,,8.0,37.0,1.75,14.0,50.59,,218.8,,,0,Não identificado,,,0.0,0.8333333333333334,68.0,0.0,1.0,,313.0,-7.03,Gasolina
,,App2Car,3.001,14.3,24.0,,26.0,807.0,0.0,-0.727837324142456,9.15542697906494,-2.0829553604125977,9.417552408820278,,6.0,37.0,2.07,15.0,50.59,,276.84000000000003,,,0,Etanol,,,0.0,0.7,68.0,0.0,1.0,0.53,313.0,-7.03,Gasolina
,,App2Car,4.001,14.3,31.0,,27.0,844.0,3.0,-0.4309563040733337,9.028534889221191,-3.0621838569641118,9.543434159449966,,24.5,37.0,3.66,16.0,50.59,,415.48,,,1,Gasolina,,,1.0,0.5666666666666667,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,5.001,14.3,24.0,,25.0,1136.0,6.0,0.8643068075180054,10.83855152130127,-1.2641384601593018,10.94619894684351,,27.0,37.0,3.11,15.0,50.59,,395.4,,,1,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.73,313.0,-7.03,Gasolina
,,App2Car,6.001,14.3,23.0,,23.0,1212.0,9.0,0.4309563040733337,10.002974510192873,-1.9800047874450684,10.206157031218668,,7.5,37.0,2.75,15.0,50.59,,433.92,,,1,Gasolina,,,0.0,0.6666666666666666,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,7.002,14.3,20.0,,28.0,1027.0,10.0,-2.432508945465088,8.832210540771484,-3.845088005065918,9.935277780363483,,3.0,37.0,1.87,14.0,50.59,,364.05,,,0,Etanol,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,8.002,14.3,30.0,,35.0,1007.0,12.0,3.615244626998901,8.401253700256348,-5.9974751472473145,10.9371278492557,,26.0,37.0,3.56,16.0,50.59,,547.47,,,1,Etanol,,,0.0,0.5666666666666667,68.0,0.0,2.0,0.93,313.0,-7.03,Gasolina
,,App2Car,9.002,14.3,33.0,,32.0,1124.0,14.0,0.7134721279144287,9.93354320526123,-1.0869675874710083,10.018274383561016,,26.5,37.0,4.07,16.0,50.59,,640.14,,,1,Etanol,,,0.0,0.6333333333333333,68.0,0.0,2.0,0.87,313.0,-7.03,Gasolina
,,App2Car,10.002,14.3,18.0,,24.0,1166.0,15.0,0.9911994934082032,11.3269681930542,-0.8834604024887085,11.404524854852994,,21.0,37.0,2.26,15.0,50.59,,439.89,,,1,Etanol,,,0.0,0.9,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,11.002,14.3,20.0,,25.0,1125.0,14.0,-0.0574608407914638,8.271966934204102,-0.1891419291496276,8.274328575670229,,2.5,37.0,2.23,15.0,50.59,,446.25,,,1,Etanol,,,0.0,0.5666666666666667,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,12.000,14.3,22.0,,25.0,902.0,12.0,-1.3886369466781616,7.824251174926758,-1.867477297782898,8.16300744062854,,3.0,37.0,2.21,15.0,50.59,,420.75,,,1,Gasolina,,,1.0,0.6,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,13.002,14.3,22.0,,26.0,826.0,10.0,0.3734954595565796,9.974244117736816,-1.168370485305786,10.049384765718274,,4.0,37.0,1.93,15.0,50.59,,420.75,,,1,Etanol,,,0.0,0.7666666666666667,68.0,0.0,2.0,0.83,313.0,-7.03,Gasolina
,,App2Car,14.003,14.3,22.0,,26.0,805.0,9.0,0.7134721279144287,10.654197692871094,-1.5442601442337036,10.789147804583974,,4.5,37.0,1.91,14.0,50.59,,333.9,,,0,Etanol,,,0.0,0.8666666666666667,68.0,0.0,1.0,0.77,313.0,-7.03,Gasolina
,,App2Car,15.001,14.3,35.0,,41.0,832.0,11.0,1.6280571222305298,11.21204662322998,0.8403648138046265,11.360755806503771,,5.5,37.0,2.96,17.0,50.59,,551.1,,,1,Etanol,,,1.0,0.6666666666666666,68.0,0.0,2.0,0.83,313.0,-7.03,Gasolina
,,App2Car,16.003,14.3,40.0,,51.0,1027.0,13.0,4.702212333679199,7.996633529663086,4.376600742340088,10.25726974865088,,20.0,37.0,4.19,18.0,50.59,,671.16,,,1,Etanol,,,0.0,0.7,68.0,0.0,2.0,0.7,313.0,-7.03,Gasolina
,,App2Car,17.002,14.3,46.0,,50.0,1183.0,15.0,0.6584054827690125,6.981492042541504,0.3758896589279175,7.0225367179887055,,18.5,37.0,5.6,18.0,50.59,,833.9649999999999,,,1,Gasolina,,,0.0,0.7333333333333333,68.0,0.0,2.0,0.5,313.0,-7.03,Gasolina
,,App2Car,18.001,14.3,45.0,,49.0,1365.0,17.0,0.2489969730377197,6.818686485290527,-1.161187767982483,6.921332379663454,,26.0,37.0,6.47,19.0,50.59,,924.9,,,1,Gasolina,,,0.0,0.7,68.0,0.0,2.0,0.63,313.0,-7.03,Gasolina
,,App2Car,19.003,14.3,40.0,,47.0,1512.0,20.0,0.9959878921508788,10.38844108581543,-2.1978771686553955,10.665006522420224,,23.5,37.0,10.13,19.0,50.59,,930.525,,,1,Etanol,,,0.0,0.9666666666666668,68.0,0.0,2.0,0.53,313.0,-7.03,Gasolina
,,App2Car,20.000,14.3,13.0,,23.0,1557.0,21.0,-0.2705447971820831,9.57441234588623,-0.993593692779541,9.629631077184229,,2.5,37.0,10.13,15.0,50.59,,496.98,,,0,Gasolina,,,0.0,0.8333333333333334,68.0,0.0,2.0,0.57,313.0,-7.03,Gasolina
,,App2Car,21.001,14.3,15.0,,32.0,1175.0,22.0,1.45806884765625,10.17296314239502,-0.2202665507793426,10.279283108000548,,26.5,37.0,4.39,17.0,50.59,,531.875,,,1,Gasolina,,,0.0,0.9,68.0,0.0,2.0,0.57,313.0,-7.03,Gasolina
,,App2Car,22.001,14.3,33.0,,36.0,1193.0,23.0,-2.389413356781006,8.753201484680176,1.194706678390503,9.151784332487384,,26.5,37.0,4.19,17.0,50.59,,810.04,,,1,Etanol,,,0.0,0.6333333333333333,68.0,0.0,2.0,0.87,313.0,-7.03,Gasolina
