device,VIN,data_collector,elapsed_time_s,voltage_control_module,engine_load,coolant_temperature,intake_manifold_absolut_pressure,rpm,speed,acceleration_x,acceleration_y,acceleration_z,magnitude,fuel_pressure,timing_advance,intake_air_temperature,mass_air_flow,throttle_position,fuel_level,engine_oil_temperature,radar_area,cloud_quantity,teda_time,teda_flag,fuel_model_prediction,air_fuel_ratio,other_info,city_road_label,city_road_prob,coolant_temp,distance_traveled_with_MIL_on,driver_behaviour_label,fuel_model_prediction_prob,fuel_rail_gauge_pressure,long_term_fuel_trim_bank_1,runtime_since_engine_start,short_term_fuel_trim_bank_1,fuel_type
,PSEUDO-POLO,App2Car,0.000,,13.0,,100.0,1500.0,40.0,-1.278503656387329,8.008605003356934,5.468356609344482,9.781372588044633,,-1.0,,,,,,0.0,,,0,Não identificado,,,0.0,0.8666666666666667,,,,,,,,,Gasolina
,PSEUDO-POLO,App2Car,1.000,,13.0,,100.0,1500.0,40.0,-1.2210428714752195,7.915230751037598,5.655104637145996,9.804184412444608,,-1.0,51.0,,16.0,,,168.285,,,0,Não identificado,,,0.0,0.8666666666666667,87.0,0.0,0.0,,,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,2.000,,13.0,,100.0,1500.0,40.0,-1.4724340438842771,7.532158374786377,5.530605792999268,9.459866396203015,,-1.0,51.0,,16.0,63.14,,168.285,,,0,Não identificado,,,0.0,0.8666666666666667,87.0,0.0,0.0,,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,3.000,,13.0,,100.0,1500.0,40.0,-2.873042106628418,5.700594425201416,8.339004516601562,10.50191144863632,,0.0,51.0,,16.0,63.14,,168.285,,,0,Não identificado,,,0.0,0.9,87.0,0.0,0.0,,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,4.000,,13.0,,100.0,1500.0,40.0,0.1939303427934646,4.862623691558838,8.949525833129883,10.187086471676992,,2.0,51.0,,16.0,63.14,,168.285,,,0,Etanol,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,5.000,,20.0,,100.0,1500.0,40.0,-1.4532804489135742,5.315127849578857,7.493851184844971,9.301635001501918,,1.5,51.0,,18.0,63.14,,278.1,,,0,Etanol,,,0.0,0.7,87.0,0.0,0.0,0.53,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,5.999,,20.0,,100.0,1500.0,40.0,-0.9816226959228516,4.125209331512451,9.220070838928224,10.148430490514423,,-18.0,51.0,,22.0,63.14,,325.32,,,0,Gasolina,,,0.0,0.7333333333333333,87.0,0.0,0.0,0.63,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,6.999,,27.0,,100.0,1500.0,40.0,0.993593692779541,2.494758129119873,7.948749542236328,8.390093314996157,,-12.0,,,22.0,63.14,,562.975,,,0,Gasolina,,,0.0,0.6666666666666666,87.0,0.0,0.0,0.63,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,8.000,,16.0,,100.0,1500.0,40.0,-1.2018892765045166,1.1875240802764893,10.558429718017578,10.69276341197774,,-9.0,,,17.0,63.14,,352.61999999999995,,,0,Etanol,,,0.0,0.6666666666666666,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,9.000,,15.0,,100.0,1500.0,40.0,-2.389413356781006,4.367023944854736,8.161833763122559,9.560111123901512,,-9.0,51.0,,16.0,63.14,,364.095,,,0,Etanol,,,0.0,0.6,87.0,0.0,0.0,1.0,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,10.001,,15.0,,100.0,1500.0,40.0,-0.9313444495201112,4.704606533050537,8.712499618530273,9.945268961539648,,-7.0,51.0,,16.0,63.14,,364.095,,,0,Etanol,,,0.0,0.6,87.0,0.0,0.0,1.0,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,11.000,,14.0,,100.0,1500.0,40.0,-0.3711012601852417,0.9361328482627868,7.424419403076172,7.492400438289561,,-6.0,51.0,,16.0,63.14,,364.24,,,0,Etanol,,,0.0,0.5333333333333333,87.0,0.0,0.0,0.97,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,11.999,,10.0,,100.0,1500.0,40.0,-1.0055646896362305,0.8930372595787048,6.030993938446045,6.179123220782378,,-12.0,51.0,,14.0,63.14,,316.17,,,0,Etanol,,,0.0,0.5666666666666667,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,13.002,,10.0,,100.0,1500.0,40.0,-0.2896983921527862,0.8930372595787048,8.391676902770996,8.44403232738435,,-7.0,51.0,,14.0,63.14,,316.17,,,0,Etanol,,,0.0,0.6,87.0,0.0,0.0,0.9,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,14.000,,11.0,,100.0,1500.0,40.0,0.1460463106632232,0.6416460275650024,7.807491779327393,7.835174984249752,,0.5,51.0,,14.0,63.14,,310.5,,,0,Etanol,,,0.0,0.7,87.0,0.0,0.0,0.93,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,15.000,,11.0,,100.0,1500.0,40.0,0.4501099288463592,1.987187385559082,9.387664794921877,9.606235628756291,,0.5,51.0,,15.0,63.14,,297.875,,,0,Etanol,,,0.0,0.9,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,16.000,,14.0,,100.0,1500.0,40.0,-2.60010313987732,1.2401964664459229,11.75553035736084,12.103351502630051,,-5.5,51.0,,15.0,63.14,,293.0,,,0,Etanol,,,0.0,0.8333333333333334,87.0,0.0,0.0,0.9,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,17.000,,17.0,,100.0,1500.0,40.0,0.1556231081485748,3.064578056335449,8.710105895996094,9.234814667042782,,-6.0,52.0,,17.0,63.14,,344.115,,,0,Etanol,,,0.0,0.8,87.0,0.0,0.0,0.83,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,17.999,,15.0,,100.0,1500.0,40.0,2.6144683361053467,0.1173158809542656,10.005369186401367,10.34198338098701,,-8.5,52.0,,16.0,63.14,,287.28000000000003,,,0,Etanol,,,0.0,0.8,87.0,0.0,0.0,0.77,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,19.000,,15.0,,100.0,1500.0,40.0,3.4308910369873047,1.6160861253738403,10.472238540649414,11.137797256395388,,-8.5,52.0,,17.0,63.14,,323.96000000000004,,,0,Etanol,,,0.0,0.6333333333333333,87.0,0.0,0.0,0.97,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,20.000,,15.0,,100.0,1500.0,40.0,-1.0295066833496094,3.751713991165161,11.192893028259276,11.849729795426606,,2.0,52.0,,17.0,63.14,,366.93,,,0,Etanol,,,0.0,0.8666666666666667,87.0,0.0,0.0,0.97,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,21.000,,23.0,,100.0,1500.0,40.0,1.381454348564148,2.3558945655822754,7.47230339050293,7.955750956448327,,13.5,52.0,,20.0,63.14,,599.03,,,0,Etanol,,,0.0,0.7,87.0,0.0,0.0,0.73,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,22.000,,20.0,,100.0,1500.0,40.0,-5.152322292327881,3.699041604995728,9.56483554840088,11.47673354519749,,13.5,52.0,,20.0,63.14,,534.27,,,0,Etanol,,,0.0,0.6666666666666666,87.0,0.0,0.0,0.57,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,23.001,,18.0,,100.0,1500.0,40.0,-2.985569477081299,2.070984363555908,7.115567684173584,7.989612306277945,,15.0,52.0,,19.0,63.14,,531.7950000000001,,,0,Etanol,,,0.0,0.9666666666666668,87.0,0.0,0.0,0.63,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,24.000,,16.0,,100.0,1500.0,40.0,-2.3774423599243164,3.114856481552124,9.95748519897461,10.70075112145069,,15.5,52.0,,19.0,63.14,,546.81,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,0.0,0.53,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,25.001,,16.0,,100.0,1500.0,40.0,0.9888052940368652,1.9776105880737305,9.308655738830566,9.567640838348808,,12.5,52.0,,19.0,63.14,,546.81,,,0,Gasolina,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.6,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,25.999,,16.0,,100.0,1500.0,40.0,1.0534487962722778,0.1556231081485748,10.587160110473633,10.64057950127536,,15.5,52.0,,18.0,63.14,,591.15,,,0,Gasolina,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.6,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,26.999,,15.0,,100.0,1500.0,40.0,-1.192312479019165,1.5538369417190552,7.977479934692383,8.214390080675207,,15.0,52.0,,18.0,63.14,,574.26,,,0,Gasolina,,,0.0,0.9,87.0,0.0,0.0,0.57,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,27.999,,15.0,,100.0,1500.0,40.0,-5.853823184967041,5.231330871582031,8.7484130859375,11.754522537773594,,15.0,52.0,,19.0,63.14,,615.125,,,0,Gasolina,,,0.0,0.9,87.0,0.0,0.0,0.57,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,29.000,,17.0,,100.0,1500.0,40.0,-0.4740519225597381,1.216254472732544,8.954314231872559,9.048963671649917,,17.0,52.0,,20.0,63.14,,696.92,,,0,Gasolina,,,0.0,0.8333333333333334,87.0,0.0,0.0,0.6,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,30.000,,14.0,,100.0,1500.0,40.0,-1.1971008777618408,1.403002142906189,10.129867553710938,10.296391706819586,,12.0,52.0,,18.0,63.14,,619.85,,,0,Gasolina,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.57,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,30.999,,9.0,,100.0,1500.0,40.0,0.6392518281936646,0.4501099288463592,11.410765647888184,11.437517847807715,,11.0,52.0,,15.0,63.14,,500.65,,,0,Gasolina,,,0.0,1.0,87.0,0.0,0.0,0.87,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,31.999,,9.0,,100.0,1500.0,40.0,1.5969325304031372,0.4908113479614258,11.82017421722412,11.937655038217402,,-1.0,52.0,,14.0,63.14,,429.49,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,0.0,0.6,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,32.999,,7.0,,100.0,1500.0,40.0,-1.0893617868423462,1.644816517829895,7.7763671875,8.022718810651728,,-1.0,52.0,,14.0,63.14,,364.56,,,0,Etanol,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.77,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,34.000,,8.0,,100.0,1500.0,40.0,-0.9959878921508788,0.2585737705230713,10.72602367401123,10.775269654702988,,-1.0,52.0,,14.0,63.14,,357.075,,,0,Etanol,,,0.0,0.8333333333333334,87.0,0.0,0.0,0.8,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,35.000,,9.0,,100.0,1500.0,40.0,-1.0558429956436155,-0.7086837291717529,7.931990146636963,8.033274845652198,,-3.0,52.0,,14.0,63.14,,317.11499999999995,,,0,Etanol,,,0.0,0.8333333333333334,87.0,0.0,0.0,0.83,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,36.000,,11.0,,100.0,1500.0,40.0,-1.987187385559082,1.316810965538025,9.674968719482422,9.96433261926004,,,52.0,,15.0,63.14,,311.87,,,0,Etanol,,,0.0,0.7,87.0,0.0,0.0,0.93,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,37.000,,13.0,,100.0,1500.0,40.0,-2.616862535476685,0.0454898327589035,8.130708694458008,8.54157261448973,,-6.0,52.0,,15.0,63.14,,307.58,,,0,Etanol,,,0.0,0.7,87.0,0.0,0.0,0.9,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,38.000,,15.0,,100.0,1500.0,40.0,-0.8738836050033569,-0.3854664862155914,11.568782806396484,11.608143373884731,,-7.5,52.0,,16.0,63.14,,183.825,,,0,Etanol,,,0.0,0.8666666666666667,87.0,0.0,0.0,0.8,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,39.000,,15.0,,100.0,1500.0,40.0,-1.170764684677124,4.101267337799072,10.975020408630373,11.774640406094692,,-4.5,52.0,,16.0,63.14,,183.825,,,0,Gasolina,,,0.0,0.7666666666666667,87.0,0.0,0.0,0.63,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,40.000,,16.0,,100.0,1500.0,40.0,-1.1851298809051514,1.9752163887023928,13.208810806274414,13.408157797876802,,-7.5,52.0,,16.0,63.14,,208.0,,,0,Etanol,,,0.0,0.7666666666666667,87.0,0.0,0.0,0.8,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,41.000,,21.0,,100.0,1500.0,40.0,2.561795711517334,-1.1803414821624756,11.535264015197754,11.875113438716207,,-7.5,52.0,,18.0,63.14,,394.35,,,0,Etanol,,,0.0,0.8,87.0,0.0,0.0,0.67,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,42.000,,20.0,,100.0,1500.0,40.0,-0.3423708379268646,3.5051112174987797,7.706935405731201,8.473480736144484,,-14.5,52.0,,18.0,63.14,,365.68,,,0,Etanol,,,0.0,0.7666666666666667,87.0,0.0,0.0,0.73,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,42.999,,29.0,,100.0,1500.0,40.0,3.3734302520751958,1.8124107122421265,10.970232009887695,11.619417137112803,,-17.5,52.0,,24.0,63.14,,573.475,,,0,Gasolina,,,1.0,0.8666666666666667,87.0,0.0,0.0,0.7,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,44.000,,40.0,,100.0,1500.0,40.0,1.292868971824646,-0.7158663272857666,7.884106159210205,8.021415380501425,,-19.0,52.0,,43.0,63.14,,1251.36,,,0,Gasolina,,,0.0,0.6333333333333333,87.0,0.0,1.0,0.67,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,45.000,,40.0,,100.0,1500.0,40.0,1.5490485429763794,1.278503656387329,11.932701110839844,12.10055696191425,,-1.0,52.0,,25.0,63.14,,1398.675,,,0,Gasolina,,,0.0,0.7,87.0,0.0,1.0,0.73,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,46.002,,32.0,,100.0,1500.0,40.0,0.48602294921875,1.8626888990402224,9.174580574035645,9.374367016030853,,10.5,52.0,,25.0,63.14,,894.6999999999999,,,0,Gasolina,,,0.0,0.8333333333333334,87.0,0.0,1.0,0.67,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,46.999,,31.0,,100.0,1500.0,40.0,3.711012601852417,0.0814028605818748,9.849745750427246,10.525955173041446,,12.5,52.0,,25.0,63.14,,875.25,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,1.0,0.7,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,48.004,,30.0,,100.0,1500.0,40.0,1.5897499322891235,3.581725835800171,9.545681953430176,10.318726121285236,,12.5,52.0,,25.0,63.14,,598.35,,,0,Gasolina,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.7,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,49.000,,29.0,,100.0,1500.0,40.0,4.651933670043945,2.571372509002685,8.592789649963379,10.103884273835536,,13.5,52.0,,25.0,63.14,,1005.36,,,0,Gasolina,,,0.0,0.9,87.0,0.0,1.0,0.77,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,50.000,,27.0,,100.0,1500.0,40.0,3.296815633773804,3.3662476539611816,8.255207061767578,9.505212266096525,,15.5,52.0,,24.0,63.14,,1043.945,,,0,Gasolina,,,0.0,0.8666666666666667,87.0,0.0,1.0,0.73,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,50.999,,27.0,,100.0,1500.0,40.0,4.881777286529541,3.268085241317749,8.197746276855469,10.085394124152629,,18.0,52.0,,22.0,63.14,,1071.765,,,0,Gasolina,,,0.0,0.8666666666666667,87.0,0.0,1.0,0.77,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,52.000,,22.0,,100.0,1500.0,40.0,2.7246015071868896,2.7269957065582275,9.445125579833984,10.201487939285444,,19.5,,,22.0,63.14,,966.69,,,0,Gasolina,,,0.0,0.8,87.0,0.0,1.0,0.8,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,53.007,,22.0,,100.0,1500.0,40.0,2.212242364883423,3.6774938106536874,11.654973983764648,12.41999982168325,,20.0,52.0,,22.0,63.14,,966.69,,,0,Gasolina,,,0.0,0.8,87.0,0.0,1.0,0.7,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,54.000,,20.0,,100.0,1500.0,40.0,4.378994941711426,7.110779285430908,6.279991149902344,10.44878306734805,,20.0,52.0,,22.0,63.14,,1002.8,,,0,Gasolina,,,0.0,0.7333333333333333,87.0,0.0,1.0,0.67,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,55.001,,19.0,,100.0,1500.0,40.0,1.8794482946395876,5.880159378051758,8.743624687194824,10.703250575130738,,20.0,52.0,,21.0,63.14,,996.59,,,0,Gasolina,,,0.0,0.8,87.0,0.0,1.0,0.7,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,56.000,,12.0,,100.0,1500.0,40.0,0.1771709322929382,5.70777702331543,8.346187591552734,10.112811448876416,,10.5,52.0,,18.0,63.14,,812.0000000000001,,,0,Gasolina,,,0.0,0.9,87.0,0.0,0.0,0.7,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,57.000,,7.0,,100.0,1500.0,40.0,0.2202665507793426,5.521028995513916,7.462726593017578,9.285610735155194,,1.5,52.0,,16.0,63.14,,659.4,,,0,Gasolina,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.8,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,58.000,,7.0,,100.0,1500.0,40.0,0.3208230137825012,3.361459255218506,7.129932880401611,7.889124071131006,,-5.5,52.0,,15.0,63.14,,552.915,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,0.0,0.67,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,59.000,,8.0,,100.0,1500.0,40.0,1.2449848651885986,-0.0837970599532127,10.484209060668944,10.558202919513258,,-9.0,52.0,,15.0,63.14,,569.67,,,0,Gasolina,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.57,10840.0,3.13,884.0,0.78,Gasolina
,PSEUDO-POLO,App2Car,60.000,,8.0,,100.0,1500.0,40.0,0.1580173075199127,2.851494312286377,8.908824920654297,9.355380844698333,,-9.0,52.0,,14.0,63.14,,452.1350000000001,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,0.0,0.57,10840.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,61.000,,8.0,,100.0,1500.0,40.0,1.1659762859344482,2.382230758666992,10.675745010375977,11.000275251713848,,-9.0,52.0,,14.0,63.14,,452.1350000000001,,,0,Etanol,,,0.0,0.9333333333333332,87.0,0.0,0.0,0.77,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,61.999,,10.0,,100.0,1500.0,40.0,0.6033388376235962,3.004723072052002,11.291055679321287,11.69958618269211,,-5.5,52.0,,14.0,63.14,,298.625,,,0,Etanol,,,0.0,0.7333333333333333,87.0,0.0,0.0,0.83,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,62.999,,33.0,,100.0,1500.0,40.0,0.9576807022094728,3.8810009956359854,8.037335395812988,8.97652946969486,,-18.0,52.0,,24.0,63.14,,778.555,,,0,Gasolina,,,1.0,0.5333333333333333,87.0,0.0,0.0,0.53,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,64.000,,31.0,,100.0,1500.0,40.0,1.807622313499451,3.7158010005950928,8.197746276855469,9.180289729849614,,9.5,52.0,,25.0,63.14,,923.55,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,1.0,0.63,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,65.001,,31.0,,100.0,1500.0,40.0,1.4221558570861816,3.485957622528076,8.980650901794434,9.737890862389415,,12.0,,,25.0,63.14,,1036.25,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,1.0,0.7,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,66.000,,31.0,,100.0,1500.0,40.0,1.4844050407409668,4.235342979431152,7.603984832763672,8.829619120624281,,13.5,52.0,,25.0,63.14,,1036.25,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,1.0,0.73,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,66.999,,31.0,,100.0,1500.0,40.0,0.3806780576705932,3.090914487838745,9.495404243469238,9.993066091126233,,14.0,52.0,,26.0,63.14,,1142.96,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,1.0,0.87,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,68.000,,30.0,,100.0,1500.0,40.0,1.3048399686813354,2.983175277709961,9.05487060546875,9.62250610616539,,14.0,52.0,,26.0,63.14,,1239.84,,,0,Gasolina,,,0.0,0.9,87.0,0.0,1.0,0.8,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,69.000,,29.0,,100.0,1500.0,40.0,1.2713210582733154,3.0358476638793945,8.880094528198242,9.47041219278377,,14.0,52.0,,26.0,63.14,,690.2,,,0,Gasolina,,,0.0,0.9,87.0,0.0,0.0,0.77,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,70.000,,28.0,,100.0,1500.0,40.0,0.7350199222564697,2.80361008644104,8.918401718139648,9.37754621471012,,15.5,52.0,,26.0,63.14,,1350.8,,,0,Gasolina,,,0.0,0.8666666666666667,87.0,0.0,1.0,0.77,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,71.000,,31.0,,100.0,1500.0,40.0,1.5155296325683594,2.6192567348480225,9.186552047729492,9.672128743760728,,13.5,52.0,,25.0,63.14,,1447.2,,,0,Gasolina,,,0.0,0.9666666666666668,87.0,0.0,2.0,0.73,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,71.999,,31.0,,100.0,1500.0,40.0,0.689530074596405,3.0358476638793945,9.641449928283691,10.131603006516617,,12.5,52.0,,26.0,63.14,,1302.6550000000002,,,0,Gasolina,,,0.0,1.0,87.0,0.0,1.0,0.9,15230.0,3.91,943.0,0.0,Gasolina
,PSEUDO-POLO,App2Car,73.000,,32.0,,100.0,1500.0,40.0,1.2689268589019775,2.9712042808532715,9.770736694335938,10.291041045581656,,12.0,52.0,,26.0,63.14,,1324.0100000000002,,,0,Gasolina,,,0.0,1.0,87.0,0.0,1.0,0.77,15230.0,3.91,943.0,0.0,Gasolina
